iter	Passed	Remaining
0	135	135523
1	136	68015
2	136	45522
3	137	34252
4	138	27479
5	138	22971
6	139	19748
7	139	17329
8	140	15455
9	140	13957
10	141	12723
11	142	11697
12	142	10836
13	143	10090
14	143	9441
15	144	8874
16	144	8373
17	145	7928
18	145	7530
19	146	7170
20	146	6846
21	147	6555
22	148	6290
23	148	6052
24	149	5837
25	150	5623
26	150	5427
27	151	5245
28	151	5074
29	152	4917
30	152	4769
31	153	4633
32	153	4502
33	154	4381
34	154	4271
35	155	4166
36	156	4069
37	156	3973
38	157	3879
39	157	3789
40	158	3703
41	158	3622
42	159	3544
43	159	3469
44	160	3398
45	160	3331
46	161	3266
47	161	3205
48	162	3146
49	162	3092
50	163	3039
51	163	2989
52	164	2940
53	165	2890
54	165	2843
55	165	2797
56	166	2753
57	166	2710
58	167	2672
59	168	2633
60	168	2594
61	169	2557
62	169	2522
63	170	2489
64	170	2456
65	171	2426
66	171	2394
67	172	2364
68	172	2334
69	173	2304
70	173	2275
71	174	2247
72	174	2220
73	175	2194
74	175	2169
75	176	2145
76	177	2122
77	177	2099
78	178	2078
79	178	2058
80	179	2035
81	179	2014
82	180	1990
83	180	1969
84	181	1948
85	181	1928
86	181	1909
87	182	1891
88	183	1873
89	183	1855
90	183	1837
91	184	1821
92	185	1805
93	185	1790
94	186	1779
95	187	1764
96	187	1748
97	188	1732
98	188	1717
99	189	1703
100	189	1689
101	190	1676
102	190	1662
103	191	1647
104	191	1635
105	192	1624
106	193	1614
107	194	1603
108	194	1591
109	195	1579
110	195	1567
111	196	1555
112	196	1543
113	197	1532
114	197	1521
115	198	1510
116	198	1498
117	199	1487
118	199	1478
119	200	1468
120	200	1459
121	201	1450
122	202	1440
123	202	1431
124	203	1421
125	203	1411
126	203	1402
127	204	1392
128	205	1384
129	205	1375
130	205	1366
131	206	1357
132	206	1348
133	207	1340
134	208	1333
135	208	1325
136	209	1319
137	209	1311
138	210	1303
139	210	1295
140	211	1287
141	211	1278
142	212	1271
143	212	1263
144	213	1256
145	213	1249
146	214	1241
147	214	1235
148	215	1228
149	215	1222
150	216	1217
151	217	1211
152	217	1206
153	218	1199
154	218	1193
155	219	1187
156	219	1180
157	220	1174
158	220	1167
159	221	1161
160	221	1154
161	222	1149
162	222	1144
163	223	1139
164	224	1135
165	224	1129
166	225	1123
167	225	1117
168	226	1112
169	226	1106
170	227	1100
171	227	1095
172	227	1089
173	228	1084
174	228	1078
175	229	1073
176	229	1068
177	230	1063
178	230	1059
179	231	1055
180	232	1051
181	232	1046
182	233	1041
183	233	1036
184	234	1031
185	234	1026
186	235	1022
187	235	1017
188	236	1012
189	236	1008
190	237	1004
191	237	1000
192	238	997
193	239	993
194	239	990
195	240	986
196	240	981
197	241	977
198	241	973
199	242	968
200	242	964
201	243	960
202	243	956
203	244	952
204	244	949
205	245	945
